file_name,total_length,avg_slope,label
sample (1219).sor,25.137,0.7358,Bend
sample (122).sor,5.027,8.4057,Bend
sample (1220).sor,25.137,0.5451,Bend
sample (1221).sor,25.137,0.7394,Bend
sample (1222).sor,25.137,0.5468,Bend
sample (1223).sor,25.137,0.7948,Bend
sample (1224).sor,25.137,0.6021,Bend
sample (1225).sor,25.137,0.7566,Bend
sample (1226).sor,25.137,0.563,Bend
sample (1227).sor,25.137,0.7617,Bend
sample (1228).sor,25.137,0.5667,Bend
sample (1229).sor,25.137,0.7902,Bend
sample (123).sor,5.027,8.6499,Bend
sample (1230).sor,25.137,0.595,Bend
sample (1231).sor,25.137,0.8071,Bend
sample (1232).sor,25.137,0.5985,Bend
sample (1233).sor,25.137,0.7763,Bend
sample (1234).sor,25.137,0.5613,Bend
sample (1235).sor,25.137,0.7262,Bend
sample (1236).sor,25.137,0.5339,Bend
sample (1237).sor,25.137,0.757,Bend
sample (1238).sor,25.137,0.562,Bend
sample (1239).sor,25.137,0.7543,Bend
sample (124).sor,5.027,8.2973,Bend
sample (1240).sor,25.137,0.5541,Bend
sample (1241).sor,25.137,0.777,Bend
sample (1242).sor,25.137,0.5654,Bend
sample (1243).sor,25.137,0.7794,Bend
sample (1244).sor,25.137,0.5841,Bend
sample (1245).sor,25.137,0.7476,Bend
sample (1246).sor,25.137,0.5439,Bend
sample (1247).sor,25.137,0.7093,Bend
sample (1248).sor,25.137,0.5319,Bend
sample (1249).sor,25.137,0.8016,Bend
sample (125).sor,5.027,8.5785,Bend
sample (1250).sor,25.137,0.6065,Bend
sample (1251).sor,25.137,0.7722,Bend
sample (1252).sor,25.137,0.5735,Bend
sample (1253).sor,25.137,0.7579,Bend
sample (1254).sor,25.137,0.567,Bend
sample (1255).sor,25.137,0.7592,Bend
sample (1256).sor,25.137,0.563,Bend
sample (1257).sor,25.137,0.8161,Bend
sample (1258).sor,25.137,0.6226,Bend
sample (1259).sor,25.137,0.7544,Bend
sample (126).sor,5.027,8.3029,Bend
sample (1260).sor,25.137,0.5542,Bend
sample (1261).sor,25.137,0.7497,Bend
sample (1262).sor,25.137,0.5528,Bend
sample (1263).sor,25.137,0.7725,Bend
sample (1264).sor,25.137,0.5687,Bend
sample (1265).sor,25.137,0.7435,Bend
sample (1266).sor,25.137,0.5442,Bend
sample (1267).sor,25.137,0.7549,Bend
sample (1268).sor,25.137,0.5503,Bend
sample (1269).sor,25.137,0.7505,Bend
sample (127).sor,5.027,8.5812,Bend
sample (1270).sor,25.137,0.5615,Bend
sample (1271).sor,25.137,0.7832,Bend
sample (1272).sor,25.137,0.583,Bend
sample (1273).sor,25.137,0.7594,Bend
sample (1274).sor,25.137,0.5595,Bend
sample (1275).sor,25.137,0.7767,Bend
sample (1276).sor,25.137,0.5738,Bend
sample (1277).sor,25.137,0.7859,Bend
sample (1278).sor,25.137,0.5777,Bend
sample (1279).sor,25.137,0.7677,Bend
sample (128).sor,5.027,8.3845,Bend
sample (1280).sor,25.137,0.5701,Bend
sample (1281).sor,25.137,0.7499,Bend
sample (1282).sor,25.137,0.57,Bend
sample (1283).sor,25.137,0.7741,Bend
sample (1284).sor,25.137,0.5939,Bend
sample (1285).sor,25.137,0.7698,Bend
sample (1286).sor,25.137,0.562,Bend
sample (1287).sor,25.137,0.7672,Bend
sample (1288).sor,25.137,0.5591,Bend
sample (1289).sor,25.137,0.7698,Bend
sample (129).sor,5.027,8.5558,Bend
sample (1290).sor,25.137,0.5607,Bend
sample (1291).sor,25.137,0.7326,Bend
sample (1292).sor,25.137,0.5366,Bend
sample (1293).sor,25.137,0.7387,Bend
sample (1294).sor,25.137,0.5482,Bend
sample (1295).sor,25.137,0.7473,Bend
sample (1296).sor,25.137,0.5442,Bend
sample (1297).sor,25.137,0.7807,Bend
sample (1298).sor,25.137,0.5836,Bend
sample (1299).sor,25.137,0.7706,Bend
sample (13).sor,5.027,8.5472,Bend
sample (130).sor,5.027,8.3077,Bend
sample (1300).sor,25.137,0.5755,Bend
sample (1301).sor,25.137,1.4289,Bend
sample (1302).sor,25.137,1.3211,Bend
sample (1303).sor,25.137,1.4753,Bend
sample (1304).sor,25.137,1.3613,Bend
sample (1305).sor,25.137,1.463,Bend
sample (1306).sor,25.137,1.3269,Bend
sample (1307).sor,25.137,1.4328,Bend
sample (1308).sor,25.137,1.3272,Bend
sample (1309).sor,25.137,1.4463,Bend
sample (131).sor,5.027,8.6298,Bend
sample (1310).sor,25.137,1.3321,Bend
sample (1311).sor,25.137,1.4439,Bend
sample (1312).sor,25.137,1.3359,Bend
sample (1313).sor,25.137,1.4663,Bend
sample (1314).sor,25.137,1.3386,Bend
sample (1315).sor,25.137,1.4776,Bend
sample (1316).sor,25.137,1.3398,Bend
sample (1317).sor,25.137,1.4631,Bend
sample (1318).sor,25.137,1.3248,Bend
sample (1319).sor,25.137,1.4821,Bend
sample (132).sor,5.027,8.3247,Bend
sample (1320).sor,25.137,1.3198,Bend
sample (1321).sor,25.137,1.4624,Bend
sample (1322).sor,25.137,1.3161,Bend
sample (1323).sor,25.137,1.4666,Bend
sample (1324).sor,25.137,1.3459,Bend
sample (1325).sor,25.137,1.5047,Bend
sample (1326).sor,25.137,1.3448,Bend
sample (1327).sor,25.137,1.4555,Bend
sample (1328).sor,25.137,1.3722,Bend
sample (1329).sor,25.137,1.4898,Bend
sample (133).sor,5.027,8.6939,Bend
sample (1330).sor,25.137,1.3488,Bend
sample (1331).sor,25.137,1.4891,Bend
sample (1332).sor,25.137,1.3725,Bend
sample (1333).sor,25.137,1.5023,Bend
sample (1334).sor,25.137,1.3905,Bend
sample (1335).sor,25.137,1.4736,Bend
sample (1336).sor,25.137,1.3664,Bend
sample (1337).sor,25.137,1.4646,Bend
sample (1338).sor,25.137,1.3784,Bend
sample (1339).sor,25.137,1.4795,Bend
sample (134).sor,5.027,8.3424,Bend
sample (1340).sor,25.137,1.3588,Bend
sample (1341).sor,25.137,1.4887,Bend
sample (1342).sor,25.137,1.3694,Bend
sample (1343).sor,25.137,1.4821,Bend
sample (1344).sor,25.137,1.3471,Bend
sample (1345).sor,25.137,1.4986,Bend
sample (1346).sor,25.137,1.3646,Bend
sample (1347).sor,25.137,1.4512,Bend
sample (1348).sor,25.137,1.3295,Bend
sample (1349).sor,25.137,1.465,Bend
sample (135).sor,5.027,8.6574,Bend
sample (1350).sor,25.137,1.3742,Bend
sample (1351).sor,25.137,1.4928,Bend
sample (1352).sor,25.137,1.3789,Bend
sample (1353).sor,25.137,1.4599,Bend
sample (1354).sor,25.137,1.3886,Bend
sample (1355).sor,25.137,1.4683,Bend
sample (1356).sor,25.137,1.3649,Bend
sample (1357).sor,25.137,1.4644,Bend
sample (1358).sor,25.137,1.3657,Bend
sample (1359).sor,25.137,1.4778,Bend
sample (136).sor,5.027,8.3265,Bend
sample (1360).sor,25.137,1.3581,Bend
sample (1361).sor,25.137,1.4429,Bend
sample (1362).sor,25.137,1.3381,Bend
sample (1363).sor,25.137,1.4701,Bend
sample (1364).sor,25.137,1.3593,Bend
sample (1365).sor,25.137,1.4819,Bend
sample (1366).sor,25.137,1.3662,Bend
sample (1367).sor,25.137,1.4694,Bend
sample (1368).sor,25.137,1.3469,Bend
sample (1369).sor,25.137,1.4783,Bend
sample (137).sor,5.027,8.5595,Bend
sample (1370).sor,25.137,1.3671,Bend
sample (1371).sor,25.137,1.4899,Bend
sample (1372).sor,25.137,1.3706,Bend
sample (1373).sor,25.137,1.4998,Bend
sample (1374).sor,25.137,1.3838,Bend
sample (1375).sor,25.137,1.4813,Bend
sample (1376).sor,25.137,1.3953,Bend
sample (1377).sor,25.137,1.4504,Bend
sample (1378).sor,25.137,1.35,Bend
sample (1379).sor,25.137,1.4698,Bend
sample (138).sor,5.027,8.3078,Bend
sample (1380).sor,25.137,1.3741,Bend
sample (1381).sor,25.137,1.5031,Bend
sample (1382).sor,25.137,1.3802,Bend
sample (1383).sor,25.137,1.5101,Bend
sample (1384).sor,25.137,1.392,Bend
sample (1385).sor,25.137,1.4705,Bend
sample (1386).sor,25.137,1.0972,Bend
sample (1387).sor,25.137,1.4559,Bend
sample (1388).sor,25.137,1.3734,Bend
sample (1389).sor,25.137,1.4786,Bend
sample (139).sor,5.027,8.7346,Bend
sample (1390).sor,25.137,1.3564,Bend
sample (1391).sor,25.137,1.5064,Bend
sample (1392).sor,25.137,1.4084,Bend
sample (1393).sor,25.137,1.4948,Bend
sample (1394).sor,25.137,1.3868,Bend
sample (1395).sor,25.137,1.1544,Bend
sample (1396).sor,25.137,0.9693,Bend
sample (1397).sor,25.137,1.4771,Bend
sample (1398).sor,25.137,1.3697,Bend
sample (1399).sor,25.137,1.4489,Bend
sample (14).sor,5.027,8.4955,Bend
sample (140).sor,5.027,8.5012,Bend
sample (1400).sor,25.137,1.3603,Bend
sample (1401).sor,25.137,1.2541,Bend
sample (1402).sor,25.137,1.0987,Bend
sample (1403).sor,25.137,1.4772,Bend
sample (1404).sor,25.137,1.349,Bend
sample (1405).sor,25.137,1.4606,Bend
sample (1406).sor,25.137,1.3591,Bend
sample (1407).sor,25.137,1.2161,Bend
sample (1408).sor,25.137,1.1308,Bend
sample (1409).sor,25.137,1.4498,Bend
sample (141).sor,5.027,8.5646,Bend
sample (1410).sor,25.137,1.325,Bend
sample (1411).sor,25.137,1.4484,Bend
sample (1412).sor,25.137,1.3796,Bend
sample (1413).sor,25.137,1.4562,Bend
sample (1414).sor,25.137,1.349,Bend
sample (1415).sor,25.137,1.4592,Bend
sample (1416).sor,25.137,1.3633,Bend
sample (1417).sor,25.137,1.4702,Bend
sample (1418).sor,25.137,1.3544,Bend
sample (1419).sor,25.137,1.4662,Bend
sample (142).sor,5.027,8.3936,Bend
sample (1420).sor,25.137,1.3418,Bend
sample (1421).sor,25.137,1.4506,Bend
sample (1422).sor,25.137,1.3297,Bend
sample (1423).sor,25.137,1.4686,Bend
sample (1424).sor,25.137,1.3527,Bend
sample (1425).sor,25.137,1.4431,Bend
sample (1426).sor,25.137,1.3685,Bend
sample (1427).sor,25.137,1.4719,Bend
sample (1428).sor,25.137,1.3652,Bend
sample (1429).sor,25.137,1.4722,Bend
sample (143).sor,5.027,8.6303,Bend
sample (1430).sor,25.137,1.3667,Bend
sample (1431).sor,25.137,1.2384,Bend
sample (1432).sor,25.137,1.3025,Bend
sample (1433).sor,25.137,1.4663,Bend
sample (1434).sor,25.137,1.387,Bend
sample (1435).sor,25.137,1.4074,Bend
sample (1436).sor,25.137,1.3203,Bend
sample (1437).sor,25.137,1.4393,Bend
sample (1438).sor,25.137,1.3323,Bend
sample (1439).sor,25.137,1.4507,Bend
sample (144).sor,5.027,8.467,Bend
sample (1440).sor,25.137,1.3452,Bend
sample (1441).sor,25.137,1.4501,Bend
sample (1442).sor,25.137,1.3623,Bend
sample (1443).sor,25.137,1.4771,Bend
sample (1444).sor,25.137,1.3841,Bend
sample (1445).sor,25.137,1.4282,Bend
sample (1446).sor,25.137,1.3581,Bend
sample (1447).sor,25.137,1.2938,Bend
sample (1448).sor,25.137,1.0925,Bend
sample (1449).sor,25.137,1.467,Bend
sample (145).sor,5.027,8.604,Bend
sample (1450).sor,25.137,1.3445,Bend
sample (1451).sor,25.137,1.4988,Bend
sample (1452).sor,25.137,1.3761,Bend
sample (1453).sor,25.137,1.4396,Bend
sample (1454).sor,25.137,1.3311,Bend
sample (1455).sor,25.137,1.4659,Bend
sample (1456).sor,25.137,1.3762,Bend
sample (1457).sor,25.137,1.4481,Bend
sample (1458).sor,25.137,1.3307,Bend
sample (1459).sor,25.137,1.4366,Bend
sample (146).sor,5.027,8.4611,Bend
sample (1460).sor,25.137,1.3373,Bend
sample (1461).sor,25.137,1.2136,Bend
sample (1462).sor,25.137,1.3485,Bend
sample (1463).sor,25.137,1.4524,Bend
sample (1464).sor,25.137,1.3577,Bend
sample (1465).sor,25.137,1.4927,Bend
sample (1466).sor,25.137,1.3776,Bend
sample (1467).sor,25.137,1.4664,Bend
sample (1468).sor,25.137,1.3697,Bend
sample (1469).sor,25.137,1.4662,Bend
sample (147).sor,5.027,8.6619,Bend
sample (1470).sor,25.137,1.3624,Bend
sample (1471).sor,25.137,1.4633,Bend
sample (1472).sor,25.137,1.362,Bend
sample (1473).sor,25.137,1.4426,Bend
sample (1474).sor,25.137,1.3387,Bend
sample (1475).sor,25.137,1.4333,Bend
sample (1476).sor,25.137,1.3525,Bend
sample (1477).sor,25.137,1.468,Bend
sample (1478).sor,25.137,1.3915,Bend
sample (1479).sor,25.137,1.4628,Bend
sample (148).sor,5.027,8.3099,Bend
sample (1480).sor,25.137,1.371,Bend
sample (1481).sor,25.137,1.4784,Bend
sample (1482).sor,25.137,1.3737,Bend
sample (1483).sor,25.137,1.4698,Bend
sample (1484).sor,25.137,1.3776,Bend
sample (1485).sor,25.137,1.0904,Bend
sample (1486).sor,25.137,0.9488,Bend
sample (1487).sor,25.137,1.4907,Bend
sample (1488).sor,25.137,1.3532,Bend
sample (1489).sor,25.137,1.4455,Bend
sample (149).sor,5.027,8.6574,Bend
sample (1490).sor,25.137,1.3524,Bend
sample (1491).sor,25.137,1.4873,Bend
sample (1492).sor,25.137,1.3722,Bend
sample (1493).sor,25.137,1.4435,Bend
sample (1494).sor,25.137,1.3509,Bend
sample (1495).sor,25.137,1.4581,Bend
sample (1496).sor,25.137,1.3277,Bend
sample (1497).sor,25.137,1.4452,Bend
sample (1498).sor,25.137,1.3229,Bend
sample (1499).sor,25.137,1.4627,Bend
sample (15).sor,5.027,8.6118,Bend
sample (150).sor,5.027,8.3299,Bend
sample (1500).sor,25.137,1.3334,Bend
sample (1501).sor,25.137,1.4534,Bend
sample (1502).sor,25.137,1.3672,Bend
sample (1503).sor,25.137,1.4695,Bend
sample (1504).sor,25.137,1.3524,Bend
sample (1505).sor,25.137,1.4554,Bend
sample (1506).sor,25.137,1.3366,Bend
sample (1507).sor,25.137,1.4261,Bend
sample (1508).sor,25.137,1.3446,Bend
sample (1509).sor,25.137,1.4378,Bend
sample (151).sor,5.027,8.6878,Bend
sample (1510).sor,25.137,1.3081,Bend
sample (1511).sor,25.137,1.4551,Bend
sample (1512).sor,25.137,1.3497,Bend
sample (1513).sor,25.137,1.458,Bend
sample (1514).sor,25.137,1.3233,Bend
sample (1515).sor,25.137,1.4448,Bend
sample (1516).sor,25.137,1.3242,Bend
sample (1517).sor,25.137,1.4464,Bend
sample (1518).sor,25.137,1.358,Bend
sample (1519).sor,25.137,1.4233,Bend
sample (152).sor,5.027,8.4858,Bend
sample (1520).sor,25.137,1.3545,Bend
sample (1521).sor,25.137,1.4811,Bend
sample (1522).sor,25.137,1.3619,Bend
sample (1523).sor,25.137,1.4726,Bend
sample (1524).sor,25.137,1.3424,Bend
sample (1525).sor,25.137,1.4497,Bend
sample (1526).sor,25.137,1.3649,Bend
sample (1527).sor,25.137,1.4256,Bend
sample (1528).sor,25.137,1.3352,Bend
sample (1529).sor,25.137,1.4469,Bend
sample (153).sor,5.027,8.6546,Bend
sample (1530).sor,25.137,1.361,Bend
sample (1531).sor,25.137,1.4428,Bend
sample (1532).sor,25.137,1.3297,Bend
sample (1533).sor,25.137,1.4624,Bend
sample (1534).sor,25.137,1.3659,Bend
sample (1535).sor,25.137,1.4382,Bend
sample (1536).sor,25.137,1.3508,Bend
sample (1537).sor,25.137,1.439,Bend
sample (1538).sor,25.137,1.3379,Bend
sample (1539).sor,25.137,1.4345,Bend
sample (154).sor,5.027,8.4024,Bend
sample (1540).sor,25.137,1.3367,Bend
sample (1541).sor,25.137,1.455,Bend
sample (1542).sor,25.137,1.3563,Bend
sample (1543).sor,25.137,1.4286,Bend
sample (1544).sor,25.137,1.3528,Bend
sample (1545).sor,25.137,1.4296,Bend
sample (1546).sor,25.137,1.3515,Bend
sample (1547).sor,25.137,1.4806,Bend
sample (1548).sor,25.137,1.3723,Bend
sample (1549).sor,25.137,1.4451,Bend
sample (155).sor,5.027,8.5821,Bend
sample (1550).sor,25.137,1.3659,Bend
sample (1551).sor,25.137,1.476,Bend
sample (1552).sor,25.137,1.3748,Bend
sample (1553).sor,25.137,1.4293,Bend
sample (1554).sor,25.137,1.3371,Bend
sample (1555).sor,25.137,1.4737,Bend
sample (1556).sor,25.137,1.3406,Bend
sample (1557).sor,25.137,1.4854,Bend
sample (1558).sor,25.137,1.3408,Bend
sample (1559).sor,25.137,1.4638,Bend
sample (156).sor,5.027,8.4362,Bend
sample (1560).sor,25.137,1.363,Bend
sample (1561).sor,25.137,1.4838,Bend
sample (1562).sor,25.137,1.3736,Bend
sample (1563).sor,25.137,1.4076,Bend
sample (1564).sor,25.137,1.0888,Bend
sample (1565).sor,25.137,1.4828,Bend
sample (1566).sor,25.137,1.3777,Bend
sample (1567).sor,25.137,1.441,Bend
sample (1568).sor,25.137,1.3617,Bend
sample (1569).sor,25.137,1.4494,Bend
sample (157).sor,5.027,8.5546,Bend
sample (1570).sor,25.137,1.3618,Bend
sample (1571).sor,25.137,1.4397,Bend
sample (1572).sor,25.137,1.3548,Bend
sample (1573).sor,25.137,1.4437,Bend
